t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775087045.7912,1500,1500,1729,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.8163,1500,1500,1729,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.8313,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.8513,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.8712,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.8914,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.9113,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.9313,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.9514,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.9713,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087045.9913,1500,1500,1730,1500,1939,1939,1500,1500,20.72772033,-103.56684067,285.16,rc
1775087046.0164,1500,1500,1730,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.0313,1500,1500,1730,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.0514,1500,1500,1732,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.0713,1500,1500,1732,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.0913,1500,1500,1732,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.1112,1500,1500,1730,1500,1939,1939,1500,1500,20.72772083,-103.56684267,284.77,rc
1775087046.1314,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.1513,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.1713,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.1914,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.2113,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.2313,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.2513,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.2713,1500,1500,1732,1500,1939,1939,1500,1500,20.727721,-103.5668435,284.97,rc
1775087046.2912,1500,1500,1732,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.3112,1500,1500,1733,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.3312,1500,1500,1733,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.3511,1500,1500,1733,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.3711,1500,1500,1734,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.3912,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.4162,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.4312,1500,1500,1734,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.4512,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.4712,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.4912,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.5112,1500,1500,1735,1500,1939,1939,1500,1500,20.72772133,-103.5668445,284.77,rc
1775087046.5313,1500,1500,1734,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.5512,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.5712,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.5911,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.6163,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.6312,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.6512,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.6712,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.6912,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.7112,1500,1500,1735,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.7312,1500,1500,1737,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.7512,1500,1500,1737,1500,1939,1939,1500,1500,20.72772167,-103.566846,284.36,rc
1775087046.7714,1500,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.7912,1500,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.8163,1500,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.8312,1500,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.8513,1500,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.8712,1545,1500,1735,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
1775087046.8912,1551,1500,1737,1500,1939,1939,1500,1500,20.72772217,-103.5668475,284.21,rc
