time_s,lat,lon,heading_deg,gps_speed_mps,turn_rate_dps,fix_quality,num_sats,hdop,throttle_ppm,steering_ppm,ch3_ppm,ch4_ppm,ch5_ppm,ch6_ppm,ch7_ppm,ch8_ppm,mode
2.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.900,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
2.950,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.000,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.050,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.100,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.150,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.200,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.250,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.300,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.350,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.400,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.450,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.500,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.550,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
3.600,20.7276986667,-103.5668016667,293.43,11418677.2501,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
