t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092549.1912,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.2162,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.2316,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.2563,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.2712,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.2965,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.3112,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.3364,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.3513,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.3763,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.3965,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.4161,1500,1500,1699,1500,1939,1939,1500,1500,20.72772333,-103.5668415,277.83,rc
1775092549.4314,1500,1500,1699,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.83,rc
1775092549.4563,1500,1500,1698,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.41,rc
1775092549.4762,1500,1500,1698,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.41,rc
1775092549.4962,1500,1500,1698,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.41,rc
1775092549.5162,1500,1500,1698,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.41,rc
1775092549.5366,1500,1500,1698,1500,1939,1939,1500,1500,20.72772367,-103.56684317,277.41,rc
1775092549.5563,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.5764,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.5965,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.6162,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.6361,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.6562,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.6762,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.6962,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.7161,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.7364,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.7562,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.7764,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.7962,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.8162,1500,1500,1698,1500,1939,1939,1500,1500,20.72772383,-103.56684383,276.26,rc
1775092549.8363,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.8562,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.8764,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.8963,1500,1500,1697,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.9163,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.9365,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.9562,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.9761,1500,1500,1697,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092549.9961,1500,1500,1697,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092550.0161,1500,1500,1697,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092550.0361,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092550.0562,1500,1500,1698,1500,1939,1939,1500,1500,20.727724,-103.56684533,277.03,rc
1775092550.0764,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.0963,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.1162,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.1363,1500,1500,1698,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.1562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
1775092550.1762,1500,1500,1697,1500,1939,1939,1500,1500,20.72772417,-103.56684667,276.97,rc
